Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links
4/11/20 11:32,Georgia,2020-03-23,State-wide,,,,Banned gatherings of a certain size,10,,,Some (cherry-picked) businesses closed,"""On March 23, gatherings of over 10 people were banned, bars and nightclubs were ordered to close, and a shelter-in-place order for the ""medically fragile"" was issued""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(U.S._state)#Government_response
4/11/20 12:15,Idaho,2020-03-23,State-wide,,,,,,Schools closed,,,"""On March 23, the Idaho State Board of Education directed all public school districts to start a “soft closure” of all classroom facilities immediately, to continue through April 20.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/20 14:42,Kentucky,2020-03-23,State-wide,,,,,,,,Non-essential businesses closed,"""March 22 – Beshear announced the closure of all nonessential businesses in the state as of March 23.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/20 14:49,Louisiana,2020-03-23,State-wide,,,Shelter-in-place order,,,,,,"""A statewide order was later issued effective March 23.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/20 14:57,Maine,2020-03-23,Brunswick,,,Shelter-in-place order,,,,,,"""On March 23, Brunswick issued a shelter-in-place order effective for seven days.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/20 15:04,Maryland,2020-03-23,State-wide,,,,,,,,Non-essential businesses closed,"""On March 23, Governor Larry Hogan ordered all non-essential businesses in the state to close effective at 5 p.m. Monday to prevent further spread of COVID-19.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/14/20 10:26,Missouri,2020-03-23,St. Louis,,,Shelter-in-place order,,,,,,"""St. Louis and St. Louis County issued a stay-at-home order effective March 23 to April 22.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/14/20 16:56,North Carolina,2020-03-23,State-wide,,,,Banned gatherings of a certain size,50,,,Some (cherry-picked) businesses closed,"""On March 23, Governor Cooper closed all K-12 public school statewide through May 15, bans mass gatherings over 50 people, and closes some businesses including: gyms, movie theaters, sweepstakes parlors, health clubs and other similar facilities.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina
4/14/20 17:33,Ohio,2020-03-23,State-wide,,,Shelter-in-place order,,,,,,"""On March 22 the Ohio Department of Health issued a stay at home order closing all non-essential businesses from March 23 at 11:59 PM until April 6.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina
4/14/20 18:52,Oregon,2020-03-23,State-wide,,,Shelter-in-place order,,,,,Non-essential businesses closed,"""After growing calls from local officials, Governor Brown issued a statewide stay-at-home order on March 23 effective immediately with class C misdemeanor charges for violators.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Oregon#Government_response
4/14/20 18:42,Pennsylvania,2020-03-23,"Philadelphia, Allegheny, Bucks, Chester, Delaware, Monroe, and Montgomery",,,Shelter-in-place order,,,,,,"""Philadelphia imposed a stay-at-home order effective March 23. Allegheny County issued a stay-at-home order effective March 23 for two weeks. Governor Tom Wolf issued a stay-at-home order for Allegheny, Bucks, Chester, Delaware, Monroe, and Montgomery effective March 23 for two weeks.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina
4/14/20 18:06,South Carolina,2020-03-23,State-wide,,,,Banned gatherings of a certain size,3,,,,"""Governor McMaster holds a briefing in which he instructs law enforcement to disperse any public gathering of three or more people, with violations of this rule resulting in a misdemeanor.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Carolina#Government_response
4/13/20 12:41,Texas,2020-03-23,"Dallas, Waco, Mclennan, Bell, Cameron, Hunt, Stephens, Forney, Lampasas, Verde, Denton, Kaufman, Brazos, Bryan, College, Station, Galveston, San Antonio, Fort Worth, El Paso, Travis, Williamson, Austin, Castro, Newton, Arlington, Edinburg, Woodcreek, Collin, Harris, Hidalgo, Rockwall",,,Shelter-in-place order,,,,,,See article.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#cite_note-764
